title,author,journal,number,cites,year_pre_clean,cid,pubid,author_orig,year
Characterizing Kinematics of Passive Tracer Paths in Simulations of Mantle Convection in a 3D Spherical Shell,"JA Peterson, S Schröder, EM Heien, DL Turcotte, LH Kellogg",AGU Fall Meeting Abstracts,,0,2011,NA,08ZZubdj9fEC,"JA Peterson, S Schröder, EM Heien, DL Turcotte, LH Kellogg",2011
Compositional stratification in the deep mantle,"LH Kellogg, BH Hager, RD Van Der Hilst",Science,"283 (5409), 1881-1884",787,1999,1.06722E+19,u5HHmVD_uO8C,"LH Kellogg, BH Hager, RD Van Der Hilst",1999
Computational Infrastructure for Geodynamics (CIG),"M Gurnis, LH Kellogg, J Bloxham, BH Hager, M Spiegelman, S Willett, ME Wysession, M Aivazis",AGU Fall Meeting Abstracts,,0,2004,NA,RGFaLdJalmkC,"M Gurnis, LH Kellogg, J Bloxham, BH Hager, M Spiegelman, S Willett, ...",2004
Concentrated Strain Associated with Blind Thrusting in The California Eastern Coast Range from Continuous GPS Data,"MB Yikilmaz, O Beketova, DL Turcotte, LH Kellogg",AGU Fall Meeting Abstracts,,0,2011,NA,tS2w5q8j5-wC,"MB Yikilmaz, O Beketova, DL Turcotte, LH Kellogg",2011
Constraints from Earth's heat budget on mantle dynamics,"LH Kellogg, S Ferrachat",AGU Fall Meeting Abstracts,,0,2006,NA,hFOr9nPyWt4C,"LH Kellogg, S Ferrachat",2006
Constraints from Earth's heat budget on the origins of deep mantle heterogeneity,LH Kellogg,AGU Fall Meeting Abstracts,,0,2008,NA,M3NEmzRMIkIC,LH Kellogg,2008
Constraints on lower mantle heterogeneity from observations and numerical models,LH Kellogg,EGS-AGU-EUG Joint Assembly,,0,2003,NA,#NAME?,LH Kellogg,2003
"Constraints on the Structure of the Deep Mantle from Geochemistry, Heat Flow, and Numerical Models of a Hot Abyssal Layer",LH Kellogg,Eleventh Annual VM Goldschmidt Conference,,0,2001,NA,p2g8aNsByqUC,LH Kellogg,2001
Construction of implicit surfaces from point clouds using a feature-based approach,"P Keller, O Kreylos, ES Cowgill, LH Kellogg, M Hering-Bertram",Dagstuhl Follow-Ups,2,1,2011,1.07204E+19,rO6llkc54NcC,"P Keller, O Kreylos, ES Cowgill, LH Kellogg, M Hering-Bertram",2011
Convective mixing in the mantle: the role of viscosity differences,"DA Spence, JR Ockendon, P Wilmott, DL Turcotte, LH Kellogg",Geophysical Journal International,"95 (1), 79-86",25,1988,5.89495E+18,KlAtU1dfN6UC,"DA Spence, JR Ockendon, P Wilmott, DL Turcotte, LH Kellogg",1988
