title,author,journal,number,cites,year_pre_clean,cid,pubid,author_orig,year
"Tectonic Setting of 24 August, 2014 M= 6.0 South Napa Earthquake","MB Yikilmaz, DL Turcotte, LH Kellogg, JB Rundle",AGU Fall Meeting Abstracts,,0,2014,NA,VLnqNzywnoUC,"MB Yikilmaz, DL Turcotte, LH Kellogg, JB Rundle",2014
Tectonics: 50 years after the Revolution,"EM Moores, MB Yikilmaz, LH Kellogg",Geological Society of America Special Papers,"500, 321-369",3,2013,1.39756E+19,PELIpwtuRlgC,"EM Moores, MB Yikilmaz, LH Kellogg",2013
Tele-Presence and Tele-Collaboration in Shared Virtual Environments,"O Kreylos, LH Kellogg",AGU Fall Meeting Abstracts,,0,2018,NA,2VqYfGB8ITEC,"O Kreylos, LH Kellogg",2018
Tensor Field Visualization in Geomechanics Applications,"I Hotz, L Feng, B Hamann, KI Joy, D Manaker, MI Billen, LH Kellogg",AGU Fall Meeting Abstracts,,0,2004,NA,iH-uZ7U-co4C,"I Hotz, L Feng, B Hamann, K Joy, D Manaker, MI Billen, LH Kellogg",2004
"Tethyan ophiolites, mantle convection, and tectonic"" historical contingency"": A resolution of the"" ophiolite conundrum""","EM Moores, LH Kellogg, Y Dilek",SPECIAL PAPERS-GEOLOGICAL SOCIETY OF AMERICA,12-Mar,134,2000,2.7399E+18,qjMakFHDy7sC,"EM Moores, LH Kellogg, Y Dilek",2000
The AR sandbox: augmented reality in geoscience education,"O Kreylos, LH Kellogg, S Reed, S Hsi, MB Yikilmaz, SG Schladow, H Segale, L Chan",AGU Fall Meeting Abstracts,,2,2016,5.07077E+17,Dip1O2bNi0gC,"O Kreylos, LH Kellogg, S Reed, S Hsi, MB Yikilmaz, G Schladow, ...",2016
The California Hazards Institute,"JB Rundle, LH Kellogg, DL Turcotte",AGU Fall Meeting Abstracts,,0,2006,NA,R3hNpaxXUhUC,"JB Rundle, LH Kellogg, DL Turcotte",2006
The Computational Infrastructure for Geodynamics as a Community of Practice,"LJ Hwang, LH Kellogg",AGU Fall Meeting Abstracts,,0,2016,NA,edDO8Oi4QzsC,"L Hwang, LH Kellogg",2016
The Computational Infrastructure for Geodynamics: An Example of Software Curation and Citation in the Geodynamics Community,"LJ Hwang, LH Kellogg",AGU Fall Meeting Abstracts,,0,2017,NA,FAceZFleit8C,"L Hwang, LH Kellogg",2017
"The D"" discontinuity and its implications","ME Wysession, T Lay, J Revenaugh, Q Williams, EJ Garnero, R Jeanloz, LH Kellogg",The core‐mantle boundary region,273-297,224,1998,2.49185E+18,u-x6o8ySG0sC,"ME Wysession, T Lay, J Revenaugh, Q Williams, EJ Garnero, R Jeanloz, ...",1998
"The effect of temperature dependent viscosity on the structure of new plumes in the mantle: Results of a finite element model in a spherical, axisymmetric shell","LH Kellogg, SD King",Earth and Planetary Science Letters,"148 (1-2), 13-26",64,1997,1.42315E+19,W7OEmFMy1HYC,"LH Kellogg, SD King",1997
The Effects of Increased Thermal Conductivity and Viscosity on Mixing Rates and Convection Patterns in the Deep Lower Mantle.,"JB Naliboff, LH Kellogg",AGU Fall Meeting Abstracts,,0,2004,NA,P5F9QuxV20EC,"JB Naliboff, LH Kellogg",2004
The nature of the (visualization) game: Challenges and opportunities from computational geophysics,LH Kellogg,AGU Fall Meeting Abstracts,,0,2016,NA,0N-VGjzr574C,LH Kellogg,2016
The Overshoot Phenomenon in Geodynamics Codes,"RK Kommu, EM Heien, LH Kellogg, W Bangerth, T Heister, EH Studley",AGU Fall Meeting Abstracts,,0,2013,NA,1yQoGdGgb4wC,"RK Kommu, EM Heien, LH Kellogg, W Bangerth, T Heister, EH Studley",2013
"The role of mantle plumes in the evolution of the D"" layer",LH Kellogg,International geological congress,,0,1992,NA,M05iB0D1s5AC,L KELLOGG,1992
The role of plumes in mantle helium fluxes,"LH Kellogg, GJ Wasserburg",Earth and Planetary Science Letters,"99 (3), 276-289",160,1990,1.59431E+19,d1gkVwhDpl0C,"LH Kellogg, GJ Wasserburg",1990
The role of scientific communities in creating reusable software: Lessons from geophysics,"LH Kellogg, LJ Hwang, R Gassmoeller, W Bangerth, T Heister",Computing in Science & Engineering,"21 (2), 25-35",1,2019,9.05932E+18,HtEfBTGE9r8C,"LH Kellogg, LJ Hwang, R Gassmöller, W Bangerth, T Heister",2019
Thermochemical Models of Earth's Mantle Convection: New Insight From Fractionation and Outgassing Processes,"S Ferrachat, LH Kellogg",AGU Fall Meeting Abstracts,,0,2001,NA,maZDTaKrznsC,"S Ferrachat, LH Kellogg",2001
Three-dimensional lidar point-cloud visualization and analysis of coseismic deformation using LidarViewer,"ME Oskin, O Kreylos, D Banesh, B Hamann, PO Gold, AJ Elliott, A Hinojosa, LH Kellogg",AGU Fall Meeting Abstracts,,0,2012,NA,Fu2w8maKXqMC,"ME Oskin, O Kreylos, D Banesh, B Hamann, PO Gold, AJ Elliott, ...",2012
Triggered Swarms and Induced Aftershock Sequences in Geothermal Systems,"R Shcherbakov, DL Turcotte, MB Yikilmaz, LH Kellogg, JB Rundle",AGU Fall Meeting Abstracts,,0,2015,NA,lmc2jWPfTJgC,"R Shcherbakov, DL Turcotte, MB Yikilmaz, LH Kellogg, JB Rundle",2015
Ultra-high resolution four dimensional geodetic imaging of engineered structures for stability assessment,"GW Bawden, S Bond, JH Podoski, O Kreylos, LH Kellogg",GeoCongress,2012: State of the Art and Practice in Geotechnical Engineering,0,2012,NA,8AbLer7MMksC,"GW Bawden, S Bond, JH Podoski, O Kreylos, LH Kellogg",2012
Ultralow Velocity Zone at the Core-Mantle Boundary,"J Revenaugh, Q Williams, T Lay, LH Kellogg",The Core-Mantle Boundary Region,319,0,1998,NA,NXb4pA-qfm4C,"J Revenaugh, Q Williams, T Lay, LH Kellogg",1998
Ultralow velocity zone at the core‐mantle boundary,"EJ Garnero, J Revenaugh, Q Williams, T Lay, LH Kellogg",The core‐mantle boundary region,"28, 319-334",181,1998,1.07846E+19,9yKSN-GCB0IC,"EJ Garnero, J Revenaugh, Q Williams, T Lay, LH Kellogg",1998
Upper Mantle Discontinuity Structure Beneath the Western Atlantic Ocean and Eastern North America from SS Precursors,"NC Schmerr, C Beghein, D Kostic, AM Baldridge, JD West, LR Nittler, AL Bull, L Montesi, PK Byrne, DR Hummer, JB Plescia, LT Elkins-Tanton, V Lekic, BE Schmidt, LJ Elkins, CM Cooper, IL ten Kate, DJJ Van Hinsbergen, R Parai, JB Glass, J Ni, N Fuji, FM McCubbin, JR Michalski, C Zhao, RD Arevalo, P Koelemeijer, AM Courtier, H Dalton, L Waszek, J Bahamonde, B Schmerr, N Gilpin, E Rosenshein, K Mach, LR Ostrach, R Caracas, RA Craddock, MM Moore-Diskell, WL Du Frane, LH Kellogg",AGU Fall Meeting Abstracts,,0,2015,NA,tuHXwOkdijsC,"NC Schmerr, C Beghein, D Kostic, AM Baldridge, JD West, LR Nittler, ...",2015
Using Interactive Visualization to Analyze Solid Earth Data and Geodynamics Models,"LH Kellogg, O Kreylos, MI Billen, B Hamann, MA Jadamec, JB Rundle, J van Aalsburg, MB Yikilmaz",AGU Fall Meeting Abstracts,,0,2008,NA,isC4tDSrTZIC,"LH Kellogg, O Kreylos, MI Billen, B Hamann, MA Jadamec, JB Rundle, ...",2008
Using Speculative Execution to Reduce Communication in a Parallel Large Scale Earthquake Simulation,"EM Heien, MB Yikilmaz, MK Sachs, JB Rundle, DL Turcotte, LH Kellogg",AGU Fall Meeting Abstracts,,0,2011,NA,vRqMK49ujn8C,"EM Heien, MB Yikilmaz, MK Sachs, JB Rundle, DL Turcotte, LH Kellogg",2011
Virtual California earthquake simulations: simple models and their application to an observed sequence of earthquakes,"MB Yikilmaz, DL Turcotte, G Yakovlev, JB Rundle, LH Kellogg",Geophysical Journal International,"180 (2), 734-742",18,2010,7.62417E+18,J_g5lzvAfSwC,"MB Yıkılmaz, DL Turcotte, G Yakovlev, JB Rundle, LH Kellogg",2010
Virtual California earthquake simulator,"MK Sachs, EM Heien, DL Turcotte, MB Yikilmaz, JB Rundle, LH Kellogg",Seismological Research Letters,"83 (6), 973-978",27,2012,6.58352E+18,XiVPGOgt02cC,"MK Sachs, EM Heien, DL Turcotte, MB Yikilmaz, JB Rundle, LH Kellogg",2012
Virtual California: studying earthquakes through simulation,"MK Sachs, EM Heien, DL Turcotte, MB Yikilmaz, JB Rundle, LH Kellogg",AGU Fall Meeting Abstracts,,0,2012,NA,NJ774b8OgUMC,"MK Sachs, EM Heien, DL Turcotte, MB Yikilmaz, JB Rundle, LH Kellogg",2012
Visualization of Flow Behavior in Earth Mantle Convection,"S Schroder, JA Peterson, H Obermaier, LH Kellogg, KI Joy, H Hagen",IEEE transactions on visualization and computer graphics,"18 (12), 2198-2207",4,2012,3.67327E+18,J-pR_7NvFogC,"S Schröder, JA Peterson, H Obermaier, LH Kellogg, KI Joy, H Hagen",2012
Visualization of Flow Properties in Mantle Convection: Understanding Homogenization in CitcomS,"S Schroder, JA Peterson, EM Heien, H Obermaier, DL Turcotte, LH Kellogg, H Hagen",AGU Fall Meeting Abstracts,,0,2011,NA,4fKUyHm3Qg0C,"S Schröder, JA Peterson, EM Heien, H Obermaier, DL Turcotte, ...",2011
Visualizer: 3D Gridded Data Visualization Software for Geoscience Education and Research,"C Harwood, MI Billen, O Kreylos, MA Jadamec, DY Sumner, LH Kellogg, B Hamann",AGU Fall Meeting Abstracts,,0,2008,NA,TFP_iSt0sucC,"C Harwood, MI Billen, O Kreylos, M Jadamec, DY Sumner, LH Kellogg, ...",2008
Where inside the world is the stuff that makes the wood things we write with and the small pretty rocks that women wear on their fingers? And where does that stuff go over time?,LH Kellogg,AGU Fall Meeting Abstracts,,0,2017,NA,9pM33mqn1YgC,LH Kellogg,2017
Whole earth modeling: developing and disseminating scientific software for computational geophysics.,LH Kellogg,AGU Fall Meeting Abstracts,,0,2016,NA,XoXfffV-tXoC,LH Kellogg,2016
